GEOID,NAME,variable,population,moe,total_population,pct_pop,race,state_abb
01,Alabama,B03002_003,3194929,1002,4876250,65.52,White,AL
01,Alabama,B03002_004,1291524,2528,4876250,26.49,Black,AL
01,Alabama,B03002_006,65410,1159,4876250,1.34,Asian,AL
01,Alabama,B03002_007,1603,248,4876250,0.03,American Indian,AL
01,Alabama,B03002_012,208626,582,4876250,4.28,Hispanic,AL
02,Alaska,B03002_003,446897,670,737068,60.63,White,AK
02,Alaska,B03002_004,22857,758,737068,3.1,Black,AK
02,Alaska,B03002_006,44917,847,737068,6.09,Asian,AK
02,Alaska,B03002_007,9013,404,737068,1.22,American Indian,AK
02,Alaska,B03002_012,51870,128,737068,7.04,Hispanic,AK
04,Arizona,B03002_003,3857007,1297,7050299,54.71,White,AZ
04,Arizona,B03002_004,297107,2751,7050299,4.21,Black,AZ
04,Arizona,B03002_006,226597,2187,7050299,3.21,Asian,AZ
04,Arizona,B03002_007,12878,515,7050299,0.18,American Indian,AZ
04,Arizona,B03002_012,2208663,,7050299,31.33,Hispanic,AZ
05,Arkansas,B03002_003,2172453,725,2999370,72.43,White,AR
05,Arkansas,B03002_004,456899,1847,2999370,15.23,Black,AR
05,Arkansas,B03002_006,44927,1000,2999370,1.5,Asian,AR
05,Arkansas,B03002_007,8614,689,2999370,0.29,American Indian,AR
05,Arkansas,B03002_012,224130,236,2999370,7.47,Hispanic,AR
06,California,B03002_003,14605312,3168,39283497,37.18,White,CA
06,California,B03002_004,2169155,6936,39283497,5.52,Black,CA
06,California,B03002_006,5610931,9199,39283497,14.28,Asian,CA
06,California,B03002_007,140788,2224,39283497,0.36,American Indian,CA
06,California,B03002_012,15327688,,39283497,39.02,Hispanic,CA
08,Colorado,B03002_003,3818321,1022,5610349,68.06,White,CO
08,Colorado,B03002_004,221526,2310,5610349,3.95,Black,CO
08,Colorado,B03002_006,174660,1945,5610349,3.11,Asian,CO
08,Colorado,B03002_007,7618,588,5610349,0.14,American Indian,CO
08,Colorado,B03002_012,1208172,407,5610349,21.53,Hispanic,CO
09,Connecticut,B03002_003,2392013,1198,3575074,66.91,White,CT
09,Connecticut,B03002_004,354120,2527,3575074,9.91,Black,CT
09,Connecticut,B03002_006,159989,1538,3575074,4.48,Asian,CT
09,Connecticut,B03002_007,754,217,3575074,0.02,American Indian,CT
09,Connecticut,B03002_012,574240,,3575074,16.06,Hispanic,CT
10,Delaware,B03002_003,596497,515,957248,62.31,White,DE
10,Delaware,B03002_004,207402,1458,957248,21.67,Black,DE
10,Delaware,B03002_006,36656,726,957248,3.83,Asian,DE
10,Delaware,B03002_007,330,97,957248,0.03,American Indian,DE
10,Delaware,B03002_012,88364,,957248,9.23,Hispanic,DE
11,District of Columbia,B03002_003,253373,417,692683,36.58,White,DC
11,District of Columbia,B03002_004,314774,1115,692683,45.44,Black,DC
11,District of Columbia,B03002_006,27188,632,692683,3.93,Asian,DC
11,District of Columbia,B03002_007,307,64,692683,0.04,American Indian,DC
11,District of Columbia,B03002_012,76191,,692683,11,Hispanic,DC
12,Florida,B03002_003,11266347,3507,20901636,53.9,White,FL
12,Florida,B03002_004,3202687,6961,20901636,15.32,Black,FL
12,Florida,B03002_006,559988,3402,20901636,2.68,Asian,FL
12,Florida,B03002_007,10389,791,20901636,0.05,American Indian,FL
12,Florida,B03002_012,5346684,317,20901636,25.58,Hispanic,FL
13,Georgia,B03002_003,5485855,1983,10403847,52.73,White,GA
13,Georgia,B03002_004,3244348,4912,10403847,31.18,Black,GA
13,Georgia,B03002_006,410705,2490,10403847,3.95,Asian,GA
13,Georgia,B03002_007,5164,775,10403847,0.05,American Indian,GA
13,Georgia,B03002_012,992394,479,10403847,9.54,Hispanic,GA
15,Hawaii,B03002_003,312722,300,1422094,21.99,White,HI
15,Hawaii,B03002_004,24377,819,1422094,1.71,Black,HI
15,Hawaii,B03002_006,524609,3766,1422094,36.89,Asian,HI
15,Hawaii,B03002_007,133110,1866,1422094,9.36,American Indian,HI
15,Hawaii,B03002_012,149118,,1422094,10.49,Hispanic,HI
16,Idaho,B03002_003,1407883,382,1717750,81.96,White,ID
16,Idaho,B03002_004,11316,910,1717750,0.66,Black,ID
16,Idaho,B03002_006,23061,959,1717750,1.34,Asian,ID
16,Idaho,B03002_007,2341,301,1717750,0.14,American Indian,ID
16,Idaho,B03002_012,215476,,1717750,12.54,Hispanic,ID
17,Illinois,B03002_003,7829850,1090,12770631,61.31,White,IL
17,Illinois,B03002_004,1783708,3753,12770631,13.97,Black,IL
17,Illinois,B03002_006,692370,2563,12770631,5.42,Asian,IL
17,Illinois,B03002_007,2908,338,12770631,0.02,American Indian,IL
17,Illinois,B03002_012,2186387,231,12770631,17.12,Hispanic,IL
18,Indiana,B03002_003,5271071,1100,6665703,79.08,White,IN
18,Indiana,B03002_004,616545,3021,6665703,9.25,Black,IN
18,Indiana,B03002_006,150840,1752,6665703,2.26,Asian,IN
18,Indiana,B03002_007,1981,249,6665703,0.03,American Indian,IN
18,Indiana,B03002_012,461850,263,6665703,6.93,Hispanic,IN
19,Iowa,B03002_003,2690052,741,3139508,85.68,White,IA
19,Iowa,B03002_004,113560,2050,3139508,3.62,Black,IA
19,Iowa,B03002_006,75326,1144,3139508,2.4,Asian,IA
19,Iowa,B03002_007,3359,396,3139508,0.11,American Indian,IA
19,Iowa,B03002_012,188311,135,3139508,6,Hispanic,IA
20,Kansas,B03002_003,2208576,475,2910652,75.88,White,KS
20,Kansas,B03002_004,164509,1875,2910652,5.65,Black,KS
20,Kansas,B03002_006,84850,1232,2910652,2.92,Asian,KS
20,Kansas,B03002_007,1939,257,2910652,0.07,American Indian,KS
20,Kansas,B03002_012,345680,71,2910652,11.88,Hispanic,KS
21,Kentucky,B03002_003,3761855,843,4449052,84.55,White,KY
21,Kentucky,B03002_004,353997,2230,4449052,7.96,Black,KY
21,Kentucky,B03002_006,64764,980,4449052,1.46,Asian,KY
21,Kentucky,B03002_007,2667,431,4449052,0.06,American Indian,KY
21,Kentucky,B03002_012,162994,515,4449052,3.66,Hispanic,KY
22,Louisiana,B03002_003,2735887,900,4664362,58.66,White,LA
22,Louisiana,B03002_004,1492386,2728,4664362,32,Black,LA
22,Louisiana,B03002_006,80014,1287,4664362,1.72,Asian,LA
22,Louisiana,B03002_007,1088,294,4664362,0.02,American Indian,LA
22,Louisiana,B03002_012,239164,365,4664362,5.13,Hispanic,LA
