date,county,cases,deaths
2020-11-27,Anderson,3172,47
2020-11-27,Andrews,1018,13
2020-11-27,Angelina,3571,99
2020-11-27,Aransas,404,18
2020-11-27,Archer,251,2
2020-11-27,Armstrong,48,1
2020-11-27,Atascosa,1493,41
2020-11-27,Austin,600,11
2020-11-27,Bailey,470,6
2020-11-27,Bandera,232,11
2020-11-27,Bastrop,2274,36
2020-11-27,Baylor,54,4
2020-11-27,Bee,2011,40
2020-11-27,Bell,8443,115
2020-11-27,Bexar,76762,1492
2020-11-27,Blanco,180,6
2020-11-27,Borden,5,0
2020-11-27,Bosque,531,15
2020-11-27,Bowie,2497,100
2020-11-27,Brazoria,14154,200
2020-11-27,Brazos,10858,106
2020-11-27,Brewster,611,6
2020-11-27,Briscoe,40,1
2020-11-27,Brooks,398,25
2020-11-27,Brown,1667,41
2020-11-27,Burleson,657,9
2020-11-27,Burnet,1387,19
2020-11-27,Caldwell,1873,39
2020-11-27,Calhoun,985,10
2020-11-27,Callahan,218,8
2020-11-27,Cameron,25855,1115
2020-11-27,Camp,449,15
2020-11-27,Carson,95,2
2020-11-27,Cass,746,34
2020-11-27,Castro,462,8
2020-11-27,Chambers,1965,22
2020-11-27,Cherokee,1752,52
2020-11-27,Childress,830,1
2020-11-27,Clay,305,6
2020-11-27,Cochran,153,5
2020-11-27,Coke,200,9
2020-11-27,Coleman,179,6
2020-11-27,Collin,25153,251
2020-11-27,Collingsworth,38,1
2020-11-27,Colorado,620,4
2020-11-27,Comal,4505,128
2020-11-27,Comanche,493,6
2020-11-27,Concho,127,2
2020-11-27,Cooke,934,13
2020-11-27,Coryell,2541,16
2020-11-27,Cottle,56,4
2020-11-27,Crane,249,7
2020-11-27,Crockett,297,7
2020-11-27,Crosby,172,15
2020-11-27,Culberson,197,3
2020-11-27,Dallam,428,15
2020-11-27,Dallas,133811,1523
2020-11-27,Dawson,1178,36
2020-11-27,Deaf Smith,1748,38
2020-11-27,Delta,49,2
2020-11-27,Denton,23094,211
2020-11-27,DeWitt,1205,45
2020-11-27,Dickens,66,4
2020-11-27,Dimmit,372,8
2020-11-27,Donley,111,1
2020-11-27,Duval,601,24
2020-11-27,Eastland,368,9
2020-11-27,Ector,8873,139
2020-11-27,Edwards,96,2
2020-11-27,El Paso,84683,1055
2020-11-27,Ellis,6828,111
2020-11-27,Erath,1338,20
2020-11-27,Falls,803,14
2020-11-27,Fannin,994,33
2020-11-27,Fayette,602,26
2020-11-27,Fisher,157,4
2020-11-27,Floyd,184,17
2020-11-27,Foard,32,3
2020-11-27,Fort Bend,21588,331
2020-11-27,Franklin,249,10
2020-11-27,Freestone,513,12
2020-11-27,Frio,1122,9
2020-11-27,Gaines,936,15
2020-11-27,Galveston,14635,180
2020-11-27,Garza,160,14
2020-11-27,Gillespie,561,11
2020-11-27,Glasscock,40,0
2020-11-27,Goliad,179,6
2020-11-27,Gonzales,1245,24
2020-11-27,Gray,1265,22
2020-11-27,Grayson,4290,108
2020-11-27,Gregg,4930,108
2020-11-27,Grimes,1375,40
2020-11-27,Guadalupe,4272,85
2020-11-27,Hale,4052,91
2020-11-27,Hall,80,3
2020-11-27,Hamilton,294,7
2020-11-27,Hansford,234,9
2020-11-27,Hardeman,88,4
2020-11-27,Hardin,1594,42
2020-11-27,Harris,187867,2995
2020-11-27,Harrison,1717,44
2020-11-27,Hartley,207,2
2020-11-27,Haskell,96,5
2020-11-27,Hays,7963,99
2020-11-27,Hemphill,243,1
2020-11-27,Henderson,2451,57
2020-11-27,Hidalgo,42786,2050
2020-11-27,Hill,1230,18
2020-11-27,Hockley,1309,50
2020-11-27,Hood,1611,47
2020-11-27,Hopkins,828,52
2020-11-27,Houston,567,15
2020-11-27,Howard,1904,34
2020-11-27,Hudspeth,219,4
2020-11-27,Hunt,2708,59
2020-11-27,Hutchinson,643,24
2020-11-27,Irion,31,0
2020-11-27,Jack,247,3
2020-11-27,Jackson,800,16
2020-11-27,Jasper,547,36
2020-11-27,Jeff Davis,57,0
2020-11-27,Jefferson,10187,176
2020-11-27,Jim Hogg,213,7
2020-11-27,Jim Wells,2009,56
2020-11-27,Johnson,5327,104
2020-11-27,Jones,1604,9
2020-11-27,Karnes,1003,18
2020-11-27,Kaufman,4870,80
2020-11-27,Kendall,515,13
2020-11-27,Kenedy,11,2
2020-11-27,Kent,25,1
2020-11-27,Kerr,932,20
2020-11-27,Kimble,126,3
2020-11-27,King,2,0
2020-11-27,Kinney,87,2
2020-11-27,Kleberg,1179,55
2020-11-27,Knox,120,9
2020-11-27,La Salle,392,14
2020-11-27,Lamar,2675,67
2020-11-27,Lamb,972,44
2020-11-27,Lampasas,393,10
2020-11-27,Lavaca,1373,42
2020-11-27,Lee,293,17
2020-11-27,Leon,445,15
2020-11-27,Liberty,2495,67
2020-11-27,Limestone,780,18
2020-11-27,Lipscomb,129,1
2020-11-27,Live Oak,431,10
2020-11-27,Llano,301,4
2020-11-27,Loving,1,0
2020-11-27,Lubbock,31499,345
2020-11-27,Lynn,345,10
2020-11-27,Madison,865,12
2020-11-27,Marion,184,16
2020-11-27,Martin,234,7
2020-11-27,Mason,130,2
2020-11-27,Matagorda,1262,59
2020-11-27,Maverick,4823,173
2020-11-27,McCulloch,270,6
2020-11-27,McLennan,14029,187
2020-11-27,McMullen,27,1
2020-11-27,Medina,1457,49
2020-11-27,Menard,112,3
2020-11-27,Midland,7276,140
2020-11-27,Milam,640,9
2020-11-27,Mills,139,4
2020-11-27,Mitchell,338,7
2020-11-27,Montague,625,15
2020-11-27,Montgomery,16982,212
2020-11-27,Moore,1612,32
2020-11-27,Morris,275,8
2020-11-27,Motley,20,1
2020-11-27,Nacogdoches,1960,84
2020-11-27,Navarro,2626,45
2020-11-27,Newton,199,16
2020-11-27,Nolan,722,9
2020-11-27,Nueces,23930,480
2020-11-27,Ochiltree,533,6
2020-11-27,Oldham,39,2
2020-11-27,Orange,2530,51
2020-11-27,Palo Pinto,1024,32
2020-11-27,Panola,533,35
2020-11-27,Parker,3868,68
2020-11-27,Parmer,690,22
2020-11-27,Pecos,788,17
2020-11-27,Polk,1539,42
2020-11-27,Potter,12360,176
2020-11-27,Presidio,373,7
2020-11-27,Rains,330,9
2020-11-27,Randall,10443,108
2020-11-27,Reagan,226,6
2020-11-27,Real,131,9
2020-11-27,Red River,225,18
2020-11-27,Reeves,662,11
2020-11-27,Refugio,341,16
2020-11-27,Roberts,27,1
2020-11-27,Robertson,508,7
2020-11-27,Rockwall,2948,36
2020-11-27,Runnels,358,11
2020-11-27,Rusk,1211,31
2020-11-27,Sabine,122,10
2020-11-27,San Augustine,358,18
2020-11-27,San Jacinto,256,15
2020-11-27,San Patricio,1883,84
2020-11-27,San Saba,302,8
2020-11-27,Schleicher,129,4
2020-11-27,Scurry,1572,21
2020-11-27,Shackelford,52,0
2020-11-27,Shelby,600,36
2020-11-27,Sherman,89,2
2020-11-27,Smith,9393,196
2020-11-27,Somervell,260,5
2020-11-27,Starr,4352,189
2020-11-27,Stephens,324,7
2020-11-27,Sterling,36,1
2020-11-27,Stonewall,25,2
2020-11-27,Sutton,218,4
2020-11-27,Swisher,270,8
2020-11-27,Tarrant,95989,1019
2020-11-27,Taylor,7748,111
2020-11-27,Terrell,24,1
2020-11-27,Terry,910,24
2020-11-27,Throckmorton,23,2
2020-11-27,Titus,1788,41
2020-11-27,Tom Green,8911,107
2020-11-27,Travis,37666,483
2020-11-27,Trinity,227,8
2020-11-27,Tyler,305,5
2020-03-24,Unknown,0,1
2020-11-27,Upshur,606,22
2020-11-27,Upton,83,6
2020-11-27,Uvalde,1114,38
2020-11-27,Val Verde,3220,140
2020-11-27,Van Zandt,1673,44
2020-11-27,Victoria,4943,104
2020-11-27,Walker,4324,69
2020-11-27,Waller,1159,18
2020-11-27,Ward,411,4
2020-11-27,Washington,957,53
2020-11-27,Webb,19610,397
2020-11-27,Wharton,1639,65
2020-11-27,Wheeler,229,6
2020-11-27,Wichita,6818,117
2020-11-27,Wilbarger,689,11
2020-11-27,Willacy,1346,59
2020-11-27,Williamson,13574,165
2020-11-27,Wilson,1131,29
2020-11-27,Winkler,280,5
2020-11-27,Wise,1738,39
2020-11-27,Wood,891,48
2020-11-27,Yoakum,601,10
2020-11-27,Young,874,19
2020-11-27,Zapata,489,9
2020-11-27,Zavala,669,22
