geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
04000US06,California,12965435,19785,7085435,38161,5880000,21418
05000US06001,"Alameda County, CA",572870,1547,305134,2469,267736,2179
05000US06003,"Alpine County, CA",299,67,251,57,48,26
05000US06005,"Amador County, CA",14090,432,10798,411,3292,369
05000US06007,"Butte County, CA",86797,860,51358,1011,35439,1020
05000US06009,"Calaveras County, CA",17417,434,13526,487,3891,416
05000US06011,"Colusa County, CA",7113,174,4371,242,2742,259
05000US06013,"Contra Costa County, CA",392277,1405,257528,2331,134749,2097
05000US06015,"Del Norte County, CA",9799,314,6115,324,3684,414
05000US06017,"El Dorado County, CA",69172,735,52990,672,16182,741
05000US06019,"Fresno County, CA",304624,1206,160944,1741,143680,1727
05000US06021,"Glenn County, CA",10017,225,5981,341,4036,356
05000US06023,"Humboldt County, CA",54267,676,30853,642,23414,897
05000US06025,"Imperial County, CA",44057,845,25717,822,18340,924
05000US06027,"Inyo County, CA",8083,212,5110,242,2973,221
05000US06029,"Kern County, CA",267913,1297,155395,1986,112518,2100
05000US06031,"Kings County, CA",42735,539,22114,725,20621,763
05000US06033,"Lake County, CA",25966,628,17157,529,8809,596
05000US06035,"Lassen County, CA",9493,354,6445,286,3048,279
05000US06037,"Los Angeles County, CA",3306109,5533,1514629,9373,1791480,6379
05000US06039,"Madera County, CA",44759,607,28627,802,16132,812
05000US06041,"Marin County, CA",105258,753,67200,879,38058,924
05000US06043,"Mariposa County, CA",7700,351,5310,266,2390,335
05000US06045,"Mendocino County, CA",34090,621,20173,626,13917,617
05000US06047,"Merced County, CA",79606,596,41378,881,38228,911
05000US06049,"Modoc County, CA",3660,173,2803,180,857,145
05000US06051,"Mono County, CA",4847,426,3014,302,1833,327
05000US06053,"Monterey County, CA",126052,906,64362,918,61690,1002
05000US06055,"Napa County, CA",49032,491,31256,625,17776,645
05000US06057,"Nevada County, CA",40904,677,30406,713,10498,624
05000US06059,"Orange County, CA",1032373,2799,592269,4165,440104,3493
05000US06061,"Placer County, CA",140661,914,100700,1187,39961,1056
05000US06063,"Plumas County, CA",8047,337,5868,320,2179,261
05000US06065,"Riverside County, CA",718349,2722,472401,3912,245948,2861
05000US06067,"Sacramento County, CA",536029,1825,300082,2909,235947,2352
05000US06069,"San Benito County, CA",17740,181,11264,340,6476,363
05000US06071,"San Bernardino County, CA",630633,2099,373740,2888,256893,2797
05000US06073,"San Diego County, CA",1118980,3147,593890,4386,525090,3504
05000US06075,"San Francisco County, CA",359673,1844,135275,1887,224398,1874
05000US06077,"San Joaquin County, CA",226727,913,126097,1759,100630,1634
05000US06079,"San Luis Obispo County, CA",105317,1020,63986,1081,41331,1122
05000US06081,"San Mateo County, CA",261969,1067,156864,1532,105105,1268
05000US06083,"Santa Barbara County, CA",144962,885,75640,988,69322,1124
05000US06085,"Santa Clara County, CA",635525,1810,360658,2737,274867,2527
05000US06087,"Santa Cruz County, CA",95756,961,56873,979,38883,1111
05000US06089,"Shasta County, CA",70473,580,44721,754,25752,798
05000US06091,"Sierra County, CA",1241,141,1010,136,231,94
05000US06093,"Siskiyou County, CA",19257,305,12633,379,6624,384
05000US06095,"Solano County, CA",149067,608,90420,1131,58647,1070
05000US06097,"Sonoma County, CA",189339,918,115093,1553,74246,1572
05000US06099,"Stanislaus County, CA",172682,777,99079,1461,73603,1560
05000US06101,"Sutter County, CA",32360,312,18560,563,13800,535
05000US06103,"Tehama County, CA",24025,435,15575,529,8450,529
05000US06105,"Trinity County, CA",5796,216,3868,244,1928,252
05000US06107,"Tulare County, CA",136106,817,77314,1243,58792,1283
05000US06109,"Tuolumne County, CA",22427,607,15656,546,6771,605
05000US06111,"Ventura County, CA",271226,1122,171554,1692,99672,1663
05000US06113,"Yolo County, CA",73510,592,38013,697,35497,888
05000US06115,"Yuba County, CA",26179,329,15387,550,10792,529
