date,county,fips,cases,deaths
2021-10-15,Anderson,48001,7952,192
2021-10-15,Andrews,48003,2766,53
2021-10-15,Angelina,48005,13624,389
2021-10-15,Aransas,48007,2582,61
2021-10-15,Archer,48009,1220,19
2021-10-15,Armstrong,48011,279,7
2021-10-15,Atascosa,48013,8474,199
2021-10-15,Austin,48015,3432,51
2021-10-15,Bailey,48017,999,23
2021-10-15,Bandera,48019,2268,51
2021-10-15,Bastrop,48021,14180,163
2021-10-15,Baylor,48023,539,19
2021-10-15,Bee,48025,5280,123
2021-10-15,Bell,48027,38062,675
2021-10-15,Bexar,48029,316907,4955
2021-10-15,Blanco,48031,1296,28
2021-10-15,Borden,48033,41,2
2021-10-15,Bosque,48035,2413,55
2021-10-15,Bowie,48037,12586,314
2021-10-15,Brazoria,48039,58990,803
2021-10-15,Brazos,48041,38342,350
2021-10-15,Brewster,48043,1077,19
2021-10-15,Briscoe,48045,216,7
2021-10-15,Brooks,48047,1117,47
2021-10-15,Brown,48049,6934,182
2021-10-15,Burleson,48051,3238,59
2021-10-15,Burnet,48053,7299,114
2021-10-15,Caldwell,48055,8335,144
2021-10-15,Calhoun,48057,3886,34
2021-10-15,Callahan,48059,1749,53
2021-10-15,Cameron,48061,65001,1950
2021-10-15,Camp,48063,1993,63
2021-10-15,Carson,48065,762,24
2021-10-15,Cass,48067,4424,138
2021-10-15,Castro,48069,1293,34
2021-10-15,Chambers,48071,8719,96
2021-10-15,Cherokee,48073,6751,209
2021-10-15,Childress,48075,1540,20
2021-10-15,Clay,48077,1514,23
2021-10-15,Cochran,48079,437,18
2021-10-15,Coke,48081,674,16
2021-10-15,Coleman,48083,1036,52
2021-10-15,Collin,48085,127260,1075
2021-10-15,Collingsworth,48087,387,11
2021-10-15,Colorado,48089,2518,51
2021-10-15,Comal,48091,19070,440
2021-10-15,Comanche,48093,2134,62
2021-10-15,Concho,48095,702,10
2021-10-15,Cooke,48097,5039,96
2021-10-15,Coryell,48099,10658,154
2021-10-15,Cottle,48101,226,9
2021-10-15,Crane,48103,855,17
2021-10-15,Crockett,48105,778,16
2021-10-15,Crosby,48107,989,36
2021-10-15,Culberson,48109,386,11
2021-10-15,Dallam,48111,1191,29
2021-10-15,Dallas,48113,398157,5137
2021-10-15,Dawson,48115,2122,76
2021-10-15,Deaf Smith,48117,3363,74
2021-10-15,Delta,48119,597,20
2021-10-15,Denton,48121,105172,969
2021-10-15,DeWitt,48123,2954,80
2021-10-15,Dickens,48125,245,12
2021-10-15,Dimmit,48127,3764,45
2021-10-15,Donley,48129,568,18
2021-10-15,Duval,48131,1943,56
2021-10-15,Eastland,48133,2099,76
2021-10-15,Ector,48135,25420,517
2021-10-15,Edwards,48137,324,7
2021-10-15,El Paso,48141,146940,2843
2021-10-15,Ellis,48139,32710,435
2021-10-15,Erath,48143,6223,99
2021-10-15,Falls,48145,2594,43
2021-10-15,Fannin,48147,4899,143
2021-10-15,Fayette,48149,3577,92
2021-10-15,Fisher,48151,411,16
2021-10-15,Floyd,48153,1147,37
2021-10-15,Foard,48155,181,10
2021-10-15,Fort Bend,48157,98307,932
2021-10-15,Franklin,48159,1303,34
2021-10-15,Freestone,48161,2723,66
2021-10-15,Frio,48163,3884,66
2021-10-15,Gaines,48165,2120,59
2021-10-15,Galveston,48167,63357,680
2021-10-15,Garza,48169,706,22
2021-10-15,Gillespie,48171,3500,77
2021-10-15,Glasscock,48173,152,3
2021-10-15,Goliad,48175,699,28
2021-10-15,Gonzales,48177,3529,83
2021-10-15,Gray,48179,3440,75
2021-10-15,Grayson,48181,16000,465
2021-10-15,Gregg,48183,19096,526
2021-10-15,Grimes,48185,5111,101
2021-10-15,Guadalupe,48187,23933,321
2021-10-15,Hale,48189,7782,185
2021-10-15,Hall,48191,538,15
2021-10-15,Hamilton,48193,1291,29
2021-10-15,Hansford,48195,1111,26
2021-10-15,Hardeman,48197,449,13
2021-10-15,Hardin,48199,10288,200
2021-10-15,Harris,48201,569187,8789
2021-10-15,Harrison,48203,9064,171
2021-10-15,Hartley,48205,840,2
2021-10-15,Haskell,48207,595,31
2021-10-15,Hays,48209,32456,385
2021-10-15,Hemphill,48211,689,3
2021-10-15,Henderson,48213,9639,321
2021-10-15,Hidalgo,48215,114013,3409
2021-10-15,Hill,48217,5742,152
2021-10-15,Hockley,48219,4173,130
2021-10-15,Hood,48221,9498,189
2021-10-15,Hopkins,48223,5264,142
2021-10-15,Houston,48225,2828,78
2021-10-15,Howard,48227,5724,129
2021-10-15,Hudspeth,48229,581,14
2021-10-15,Hunt,48231,10743,279
2021-10-15,Hutchinson,48233,3546,86
2021-10-15,Irion,48235,186,2
2021-10-15,Jack,48237,888,20
2021-10-15,Jackson,48239,2773,50
2021-10-15,Jasper,48241,3988,147
2021-10-15,Jeff Davis,48243,206,6
2021-10-15,Jefferson,48245,31406,670
2021-10-15,Jim Hogg,48247,898,20
2021-10-15,Jim Wells,48249,7071,173
2021-10-15,Johnson,48251,27668,519
2021-10-15,Jones,48253,3162,70
2021-10-15,Karnes,48255,3992,54
2021-10-15,Kaufman,48257,23486,400
2021-10-15,Kendall,48259,5033,93
2021-10-15,Kenedy,48261,60,2
2021-10-15,Kent,48263,122,3
2021-10-15,Kerr,48265,6472,126
2021-10-15,Kimble,48267,439,11
2021-10-15,King,48269,16,0
2021-10-15,Kinney,48271,508,8
2021-10-15,Kleberg,48273,4272,125
2021-10-15,Knox,48275,335,20
2021-10-15,La Salle,48283,1201,37
2021-10-15,Lamar,48277,8689,199
2021-10-15,Lamb,48279,2945,88
2021-10-15,Lampasas,48281,3491,60
2021-10-15,Lavaca,48285,3144,93
2021-10-15,Lee,48287,2897,49
2021-10-15,Leon,48289,2434,65
2021-10-15,Liberty,48291,12604,331
2021-10-15,Limestone,48293,3615,107
2021-10-15,Lipscomb,48295,379,12
2021-10-15,Live Oak,48297,1758,37
2021-10-15,Llano,48299,2558,71
2021-10-15,Loving,48301,8,0
2021-10-15,Lubbock,48303,64867,972
2021-10-15,Lynn,48305,829,26
2021-10-15,Madison,48313,2453,43
2021-10-15,Marion,48315,1159,49
2021-10-15,Martin,48317,830,23
2021-10-15,Mason,48319,553,7
2021-10-15,Matagorda,48321,6016,153
2021-10-15,Maverick,48323,12660,400
2021-10-15,McCulloch,48307,913,36
2021-10-15,McLennan,48309,41657,692
2021-10-15,McMullen,48311,115,7
2021-10-15,Medina,48325,6814,159
2021-10-15,Menard,48327,340,11
2021-10-15,Midland,48329,27763,359
2021-10-15,Milam,48331,3702,79
2021-10-15,Mills,48333,862,26
2021-10-15,Mitchell,48335,897,38
2021-10-15,Montague,48337,3010,89
2021-10-15,Montgomery,48339,86784,1015
2021-10-15,Moore,48341,3404,84
2021-10-15,Morris,48343,1635,50
2021-10-15,Motley,48345,153,9
2021-10-15,Nacogdoches,48347,7672,220
2021-10-15,Navarro,48349,8589,181
2021-10-15,Newton,48351,935,50
2021-10-15,Nolan,48353,2439,73
2021-10-15,Nueces,48355,61058,1233
2021-10-15,Ochiltree,48357,1481,34
2021-10-15,Oldham,48359,336,6
2021-10-15,Orange,48361,13602,275
2021-10-15,Palo Pinto,48363,4614,112
2021-10-15,Panola,48365,2931,107
2021-10-15,Parker,48367,23683,290
2021-10-15,Parmer,48369,1512,35
2021-10-15,Pecos,48371,2207,47
2021-10-15,Polk,48373,5885,189
2021-10-15,Potter,48375,23053,543
2021-10-15,Presidio,48377,895,28
2021-10-15,Rains,48379,1500,38
2021-10-15,Randall,48381,23251,357
2021-10-15,Reagan,48383,583,10
2021-10-15,Real,48385,526,18
2021-10-15,Red River,48387,1348,48
2021-10-15,Reeves,48389,3457,52
2021-10-15,Refugio,48391,1183,31
2021-10-15,Roberts,48393,94,1
2021-10-15,Robertson,48395,2929,62
2021-10-15,Rockwall,48397,17272,212
2021-10-15,Runnels,48399,1681,53
2021-10-15,Rusk,48401,8072,168
2021-10-15,Sabine,48403,946,69
2021-10-15,San Augustine,48405,888,35
2021-10-15,San Jacinto,48407,2802,70
2021-10-15,San Patricio,48409,6906,274
2021-10-15,San Saba,48411,990,27
2021-10-15,Schleicher,48413,349,9
2021-10-15,Scurry,48415,3163,81
2021-10-15,Shackelford,48417,420,5
2021-10-15,Shelby,48419,2910,106
2021-10-15,Sherman,48421,293,15
2021-10-15,Smith,48423,36039,748
2021-10-15,Somervell,48425,1452,21
2021-10-15,Starr,48427,11507,331
