GEOID,NAME,population,popmoe
48001,"Anderson County, Texas",57863,NA
48003,"Andrews County, Texas",17818,NA
48005,"Angelina County, Texas",87607,NA
48007,"Aransas County, Texas",24763,NA
48009,"Archer County, Texas",8789,NA
48011,"Armstrong County, Texas",1916,125
48013,"Atascosa County, Texas",48828,NA
48015,"Austin County, Texas",29565,NA
48017,"Bailey County, Texas",7092,NA
48019,"Bandera County, Texas",21763,NA
48021,"Bastrop County, Texas",82577,NA
48023,"Baylor County, Texas",3591,NA
48025,"Bee County, Texas",32691,NA
48027,"Bell County, Texas",342236,NA
48029,"Bexar County, Texas",1925865,NA
48031,"Blanco County, Texas",11279,NA
48033,"Borden County, Texas",665,119
48035,"Bosque County, Texas",18122,NA
48037,"Bowie County, Texas",93858,NA
48039,"Brazoria County, Texas",353999,NA
48041,"Brazos County, Texas",219193,NA
48043,"Brewster County, Texas",9216,NA
48045,"Briscoe County, Texas",1546,128
48047,"Brooks County, Texas",7180,NA
48049,"Brown County, Texas",37834,NA
48051,"Burleson County, Texas",17863,NA
48053,"Burnet County, Texas",45750,NA
48055,"Caldwell County, Texas",41401,NA
48057,"Calhoun County, Texas",21807,NA
48059,"Callahan County, Texas",13770,NA
48061,"Cameron County, Texas",421750,NA
48063,"Camp County, Texas",12813,NA
48065,"Carson County, Texas",6032,NA
48067,"Cass County, Texas",30087,NA
48069,"Castro County, Texas",7787,NA
48071,"Chambers County, Texas",40292,NA
48073,"Cherokee County, Texas",51903,NA
48075,"Childress County, Texas",7226,NA
48077,"Clay County, Texas",10387,NA
48079,"Cochran County, Texas",2904,NA
48081,"Coke County, Texas",3275,NA
48083,"Coleman County, Texas",8391,NA
48085,"Collin County, Texas",944350,NA
48087,"Collingsworth County, Texas",2996,NA
48089,"Colorado County, Texas",21022,NA
48091,"Comal County, Texas",135097,NA
48093,"Comanche County, Texas",13495,NA
48095,"Concho County, Texas",4233,NA
48097,"Cooke County, Texas",39571,NA
48099,"Coryell County, Texas",75389,NA
48101,"Cottle County, Texas",1623,188
48103,"Crane County, Texas",4839,NA
48105,"Crockett County, Texas",3633,186
48107,"Crosby County, Texas",5861,NA
48109,"Culberson County, Texas",2241,NA
48111,"Dallam County, Texas",7243,NA
48113,"Dallas County, Texas",2586552,NA
48115,"Dawson County, Texas",12964,NA
48117,"Deaf Smith County, Texas",18899,NA
48119,"Delta County, Texas",5215,NA
48121,"Denton County, Texas",807047,NA
48123,"DeWitt County, Texas",20435,NA
48125,"Dickens County, Texas",2216,NA
48127,"Dimmit County, Texas",10663,NA
48129,"Donley County, Texas",3387,NA
48131,"Duval County, Texas",11355,NA
48133,"Eastland County, Texas",18270,NA
48135,"Ector County, Texas",158342,NA
48137,"Edwards County, Texas",2055,193
48139,"Ellis County, Texas",168838,NA
48141,"El Paso County, Texas",837654,NA
48143,"Erath County, Texas",41482,NA
48145,"Falls County, Texas",17299,NA
48147,"Fannin County, Texas",34175,NA
48149,"Fayette County, Texas",25066,NA
48151,"Fisher County, Texas",3883,NA
48153,"Floyd County, Texas",5872,NA
48155,"Foard County, Texas",1408,137
48157,"Fort Bend County, Texas",739342,NA
48159,"Franklin County, Texas",10679,NA
48161,"Freestone County, Texas",19709,NA
48163,"Frio County, Texas",19394,NA
48165,"Gaines County, Texas",20321,NA
48167,"Galveston County, Texas",327089,NA
48169,"Garza County, Texas",6288,188
48171,"Gillespie County, Texas",26208,NA
48173,"Glasscock County, Texas",1430,146
48175,"Goliad County, Texas",7531,NA
48177,"Gonzales County, Texas",20667,NA
48179,"Gray County, Texas",22685,NA
48181,"Grayson County, Texas",128560,NA
48183,"Gregg County, Texas",123494,NA
48185,"Grimes County, Texas",27630,NA
48187,"Guadalupe County, Texas",155137,NA
48189,"Hale County, Texas",34113,NA
48191,"Hall County, Texas",3074,NA
48193,"Hamilton County, Texas",8269,NA
48195,"Hansford County, Texas",5547,NA
48197,"Hardeman County, Texas",3952,NA
48199,"Hardin County, Texas",56379,NA
48201,"Harris County, Texas",4602523,NA
48203,"Harrison County, Texas",66645,NA
48205,"Hartley County, Texas",5767,NA
48207,"Haskell County, Texas",5809,NA
48209,"Hays County, Texas",204150,NA
48211,"Hemphill County, Texas",4061,NA
48213,"Henderson County, Texas",80460,NA
48215,"Hidalgo County, Texas",849389,NA
48217,"Hill County, Texas",35399,NA
48219,"Hockley County, Texas",23162,NA
48221,"Hood County, Texas",56901,NA
48223,"Hopkins County, Texas",36240,NA
48225,"Houston County, Texas",22955,NA
48227,"Howard County, Texas",36667,NA
48229,"Hudspeth County, Texas",4098,NA
48231,"Hunt County, Texas",92152,NA
48233,"Hutchinson County, Texas",21571,NA
48235,"Irion County, Texas",1524,153
48237,"Jack County, Texas",8842,NA
48239,"Jackson County, Texas",14820,NA
48241,"Jasper County, Texas",35504,NA
48243,"Jeff Davis County, Texas",2234,NA
48245,"Jefferson County, Texas",255210,NA
48247,"Jim Hogg County, Texas",5282,NA
48249,"Jim Wells County, Texas",41192,NA
48251,"Johnson County, Texas",163475,NA
